name;brzozowski-runtime;brzozowski-parsing;brzozowski-Brzozowski
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata;2.11; 2.10357; 0.0553
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.25; 0.238059; 0.0039
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata;0.21; 0.216326; 0.0033
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;0.32; 0.302812; 0.0155
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata;0.36; 0.35856; 0.0146
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;0.33; 0.319613; 0.0084
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata;0.35; 0.364571; 0.0091
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;0.29; 0.286854; 0.0050
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata;0.3; 0.310739; 0.0058
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;0.27; 0.281107; 0.0041
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-lhs.mata;0.42; 0.416886; 0.0048
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-rhs.mata;0.36; 0.360247; 0.0033
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata;0.32; 0.307183; 0.0042
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;0.28; 0.29903; 0.0035
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata;2.03; 1.98042; 0.0758
